Mod:Item:MetaData, Localized Name
chisel:concrete:0, Бетон
chisel:concrete:1, Бетон
chisel:concrete:2, Бетон
chisel:concrete:3, Бетон
chisel:concrete:4, Бетон
chisel:concrete:5, Бетон
chisel:concrete:6, Бетон
chisel:concrete:7, Бетон
chisel:concrete:8, Бетон
chisel:concrete:9, Бетон
chisel:concrete:10, Бетон
chisel:copperblock:0, Медный блок
chisel:copperblock:1, Медный блок
chisel:copperblock:2, Медный блок
chisel:copperblock:3, Медный блок
chisel:copperblock:4, Медный блок
chisel:copperblock:5, Медный блок
chisel:diamond_block:1, Алмазный блок
chisel:diamond_block:2, Алмазный блок
chisel:diamond_block:3, Алмазный блок
chisel:diamond_block:4, Алмазный блок
chisel:diamond_block:5, Алмазный блок
chisel:diamond_block:6, Алмазный блок
chisel:diamond_block:7, Алмазный блок
chisel:diamond_block:8, Алмазный блок
chisel:diamond_block:9, Алмазный блок
chisel:diamond_block:10, Алмазный блок
chisel:diamond_block:11, Алмазный блок
chisel:diamond_block:12, Алмазный блок
chisel:diorite:0, Диорит
chisel:diorite:1, Диорит
chisel:diorite:2, Диорит
chisel:diorite:3, Диорит
chisel:diorite:4, Диорит
chisel:diorite:5, Диорит
chisel:diorite:6, Диорит
chisel:dirt:0, Земля
chisel:dirt:1, Земля
chisel:dirt:2, Земля
chisel:dirt:3, Земля
chisel:dirt:4, Земля
chisel:dirt:5, Земля
chisel:dirt:6, Земля
chisel:dirt:7, Земля
chisel:dirt:8, Земля
chisel:dirt:9, Земля
chisel:dirt:10, Земля
chisel:dirt:11, Земля
chisel:dirt:12, Земля
chisel:dirt:13, Земля
chisel:dirt:14, Земля
chisel:dirt:15, Земля
chisel:emerald_block:1, Изумрудный блок
chisel:emerald_block:2, Изумрудный блок
chisel:emerald_block:3, Изумрудный блок
chisel:emerald_block:4, Изумрудный блок
chisel:emerald_block:5, Изумрудный блок
chisel:emerald_block:6, Изумрудный блок
chisel:emerald_block:7, Изумрудный блок
chisel:emerald_block:8, Изумрудный блок
chisel:emerald_block:9, Изумрудный блок
chisel:emerald_block:10, Изумрудный блок
chisel:emerald_block:11, Изумрудный блок
chisel:end_Stone:0, End Stone
chisel:end_Stone:1, End Stone
chisel:end_Stone:2, End Stone
chisel:end_Stone:3, End Stone
chisel:end_Stone:4, End Stone
chisel:end_Stone:5, End Stone
chisel:end_Stone:6, End Stone
chisel:end_Stone:7, End Stone
chisel:end_Stone:8, End Stone
chisel:end_Stone:9, End Stone
chisel:end_Stone:10, End Stone
chisel:end_Stone:11, End Stone
chisel:end_Stone:12, End Stone
chisel:end_Stone:13, End Stone
chisel:factoryblock:0, Фабричный блок
chisel:factoryblock:1, Фабричный блок
chisel:factoryblock:2, Фабричный блок
chisel:factoryblock:3, Фабричный блок
chisel:factoryblock:4, Фабричный блок
chisel:factoryblock:5, Фабричный блок
chisel:factoryblock:6, Фабричный блок
chisel:factoryblock:7, Фабричный блок
chisel:factoryblock:8, Фабричный блок
chisel:factoryblock:9, Фабричный блок
chisel:factoryblock:10, Фабричный блок
chisel:factoryblock:11, Фабричный блок
chisel:factoryblock:12, Фабричный блок
chisel:factoryblock:13, Фабричный блок
chisel:factoryblock:14, Фабричный блок
chisel:factoryblock:15, Фабричный блок
chisel:factoryblock2:0, Фабричный блок
chisel:factoryblock2:1, Фабричный блок
chisel:factoryblock2:2, Фабричный блок
chisel:factoryblock2:3, Фабричный блок
chisel:fantasyblock:0, Царский фантастический блок
chisel:fantasyblock:1, Царский фантастический блок
chisel:fantasyblock:2, Царский фантастический блок
chisel:fantasyblock:3, Царский фантастический блок
chisel:fantasyblock:4, Царский фантастический блок
chisel:fantasyblock:5, Царский фантастический блок
chisel:fantasyblock:6, Царский фантастический блок
chisel:fantasyblock:7, Царский фантастический блок
chisel:fantasyblock:8, Царский фантастический блок
chisel:fantasyblock:9, Царский фантастический блок
chisel:fantasyblock:10, Царский фантастический блок
chisel:fantasyblock:11, Царский фантастический блок
chisel:fantasyblock:12, Царский фантастический блок
chisel:fantasyblock:13, Царский фантастический блок
chisel:fantasyblock:14, Царский фантастический блок
chisel:fantasyblock:15, Царский фантастический блок
chisel:fantasyblock2:0, Фантастический блок
chisel:fantasyblock2:1, Фантастический блок
chisel:fantasyblock2:2, Фантастический блок
chisel:fantasyblock2:3, Фантастический блок
chisel:fantasyblock2:4, Фантастический блок
chisel:fantasyblock2:5, Фантастический блок
chisel:fantasyblock2:6, Фантастический блок
chisel:fantasyblock2:7, Фантастический блок
chisel:fantasyblock2:8, Фантастический блок
chisel:fantasyblock2:9, Фантастический блок
chisel:fantasyblock2:10, Фантастический блок
chisel:fantasyblock2:11, Фантастический блок
chisel:fantasyblock2:12, Фантастический блок
chisel:fantasyblock2:13, Фантастический блок
chisel:fantasyblock2:14, Фантастический блок
chisel:fantasyblock2:15, Фантастический блок
chisel:futura:0, Футура-блок
chisel:futura:1, Футура-блок
chisel:futura:2, Футура-блок
chisel:futura:3, Футура-блок
chisel:futura:4, Футура-блок
chisel:futura:5, Футура-блок
chisel:futuraCircuit:0, Футура-контур
chisel:futuraCircuit:1, Футура-контур
chisel:futuraCircuit:2, Футура-контур
chisel:futuraCircuit:3, Футура-контур
chisel:futuraCircuit:4, Футура-контур
chisel:futuraCircuit:5, Футура-контур
chisel:futuraCircuit:6, Футура-контур
chisel:futuraCircuit:7, Футура-контур
chisel:futuraCircuit:8, Футура-контур
chisel:futuraCircuit:9, Футура-контур
chisel:futuraCircuit:10, Футура-контур
chisel:futuraCircuit:11, Футура-контур
chisel:futuraCircuit:12, Футура-контур
chisel:futuraCircuit:13, Футура-контур
chisel:futuraCircuit:14, Футура-контур
chisel:futuraCircuit:15, Футура-контур
chisel:glass:1, Стекло
chisel:glass:2, Стекло
chisel:glass:3, Стекло
chisel:glass:4, Стекло
chisel:glass:5, Стекло
chisel:glass:6, Стекло
chisel:glass:7, Стекло
chisel:glass:8, Стекло
chisel:glass:9, Стекло
chisel:glass:10, Стекло
chisel:glass:11, Стекло
chisel:glass:12, Стекло
chisel:glass:13, Стекло
chisel:glass:14, Стекло
chisel:glass:15, Стекло
chisel:glass2:0, Стекло
chisel:glass_pane:1, Стеклянная панель
chisel:glass_pane:2, Стеклянная панель
chisel:glass_pane:3, Стеклянная панель
chisel:glass_pane:4, Стеклянная панель
chisel:glass_pane:12, Стеклянная панель
chisel:glass_pane:13, Стеклянная панель
chisel:glass_pane:14, Стеклянная панель
chisel:glass_pane:15, Стеклянная панель
chisel:stained_glass_forestry:0, Stained Glass
chisel:stained_glass_forestry:1, Stained Glass
chisel:stained_glass_forestry:2, Stained Glass
chisel:stained_glass_forestry:3, Stained Glass
chisel:stained_glass_forestry:4, Stained Glass
chisel:stained_glass_forestry:5, Stained Glass
chisel:stained_glass_forestry:6, Stained Glass
chisel:stained_glass_forestry:7, Stained Glass
chisel:stained_glass_forestry:8, Stained Glass
chisel:stained_glass_forestry:9, Stained Glass
chisel:stained_glass_forestry:10, Stained Glass
chisel:stained_glass_forestry:11, Stained Glass
chisel:stained_glass_forestry:12, Stained Glass
chisel:stained_glass_forestry:13, Stained Glass
chisel:stained_glass_forestry:14, Stained Glass
chisel:stained_glass_forestry:15, Stained Glass
chisel:stained_glass_white:0, Окрашенное стекло
chisel:stained_glass_white:1, Окрашенное стекло
chisel:stained_glass_white:2, Окрашенное стекло
chisel:stained_glass_white:3, Окрашенное стекло
chisel:stained_glass_white:4, Окрашенное стекло
chisel:stained_glass_white:5, Окрашенное стекло
chisel:stained_glass_white:6, Окрашенное стекло
chisel:stained_glass_white:7, Окрашенное стекло
chisel:stained_glass_white:8, Окрашенное стекло
chisel:stained_glass_white:9, Окрашенное стекло
chisel:stained_glass_white:10, Окрашенное стекло
chisel:stained_glass_white:11, Окрашенное стекло
chisel:stained_glass_white:12, Окрашенное стекло
chisel:stained_glass_white:13, Окрашенное стекло
chisel:stained_glass_white:14, Окрашенное стекло
chisel:stained_glass_white:15, Окрашенное стекло
chisel:stained_glass_yellow:0, Окрашенное стекло
chisel:stained_glass_yellow:1, Окрашенное стекло
chisel:stained_glass_yellow:2, Окрашенное стекло
chisel:stained_glass_yellow:3, Окрашенное стекло
chisel:stained_glass_yellow:4, Окрашенное стекло
chisel:stained_glass_yellow:5, Окрашенное стекло
chisel:stained_glass_yellow:6, Окрашенное стекло
chisel:stained_glass_yellow:7, Окрашенное стекло
chisel:stained_glass_yellow:8, Окрашенное стекло
chisel:stained_glass_yellow:9, Окрашенное стекло
chisel:stained_glass_yellow:10, Окрашенное стекло
chisel:stained_glass_yellow:11, Окрашенное стекло
chisel:stained_glass_yellow:12, Окрашенное стекло
chisel:stained_glass_yellow:13, Окрашенное стекло
chisel:stained_glass_yellow:14, Окрашенное стекло
chisel:stained_glass_yellow:15, Окрашенное стекло
chisel:stained_glass_lightgray:0, Окрашенное стекло
chisel:stained_glass_lightgray:1, Окрашенное стекло
chisel:stained_glass_lightgray:2, Окрашенное стекло
chisel:stained_glass_lightgray:3, Окрашенное стекло
chisel:stained_glass_lightgray:4, Окрашенное стекло
chisel:stained_glass_lightgray:5, Окрашенное стекло
chisel:stained_glass_lightgray:6, Окрашенное стекло
chisel:stained_glass_lightgray:7, Окрашенное стекло
chisel:stained_glass_lightgray:8, Окрашенное стекло
chisel:stained_glass_lightgray:9, Окрашенное стекло
chisel:stained_glass_lightgray:10, Окрашенное стекло
chisel:stained_glass_lightgray:11, Окрашенное стекло
chisel:stained_glass_lightgray:12, Окрашенное стекло
chisel:stained_glass_lightgray:13, Окрашенное стекло
chisel:stained_glass_lightgray:14, Окрашенное стекло
chisel:stained_glass_lightgray:15, Окрашенное стекло
chisel:stained_glass_brown:0, Окрашенное стекло
chisel:stained_glass_brown:1, Окрашенное стекло
chisel:stained_glass_brown:2, Окрашенное стекло
chisel:stained_glass_brown:3, Окрашенное стекло
chisel:stained_glass_brown:4, Окрашенное стекло
chisel:stained_glass_brown:5, Окрашенное стекло
chisel:stained_glass_brown:6, Окрашенное стекло
chisel:stained_glass_brown:7, Окрашенное стекло
chisel:stained_glass_brown:8, Окрашенное стекло
chisel:stained_glass_brown:9, Окрашенное стекло
chisel:stained_glass_brown:10, Окрашенное стекло
chisel:stained_glass_brown:11, Окрашенное стекло
chisel:stained_glass_brown:12, Окрашенное стекло
chisel:stained_glass_brown:13, Окрашенное стекло
chisel:stained_glass_brown:14, Окрашенное стекло
chisel:stained_glass_brown:15, Окрашенное стекло
chisel:stained_glass_pane_white:0, Окрашенная стеклянная панель
chisel:stained_glass_pane_white:1, Окрашенная стеклянная панель
chisel:stained_glass_pane_white:2, Окрашенная стеклянная панель
chisel:stained_glass_pane_white:3, Окрашенная стеклянная панель
chisel:stained_glass_pane_white:4, Окрашенная стеклянная панель
chisel:stained_glass_pane_white:5, Окрашенная стеклянная панель
chisel:stained_glass_pane_white:8, Окрашенная стеклянная панель
chisel:stained_glass_pane_white:9, Окрашенная стеклянная панель
chisel:stained_glass_pane_white:10, Окрашенная стеклянная панель
chisel:stained_glass_pane_white:11, Окрашенная стеклянная панель
chisel:stained_glass_pane_white:12, Окрашенная стеклянная панель
chisel:stained_glass_pane_white:13, Окрашенная стеклянная панель
chisel:stained_glass_pane_magenta:0, Окрашенная стеклянная панель
chisel:stained_glass_pane_magenta:1, Окрашенная стеклянная панель
chisel:stained_glass_pane_magenta:2, Окрашенная стеклянная панель
chisel:stained_glass_pane_magenta:3, Окрашенная стеклянная панель
chisel:stained_glass_pane_magenta:4, Окрашенная стеклянная панель
chisel:stained_glass_pane_magenta:5, Окрашенная стеклянная панель
chisel:stained_glass_pane_magenta:8, Окрашенная стеклянная панель
chisel:stained_glass_pane_magenta:9, Окрашенная стеклянная панель
chisel:stained_glass_pane_magenta:10, Окрашенная стеклянная панель
chisel:stained_glass_pane_magenta:11, Окрашенная стеклянная панель
chisel:stained_glass_pane_magenta:12, Окрашенная стеклянная панель
chisel:stained_glass_pane_magenta:13, Окрашенная стеклянная панель
chisel:stained_glass_pane_yellow:0, Окрашенная стеклянная панель
chisel:stained_glass_pane_yellow:1, Окрашенная стеклянная панель
chisel:stained_glass_pane_yellow:2, Окрашенная стеклянная панель
chisel:stained_glass_pane_yellow:3, Окрашенная стеклянная панель
chisel:stained_glass_pane_yellow:4, Окрашенная стеклянная панель
chisel:stained_glass_pane_yellow:5, Окрашенная стеклянная панель
chisel:stained_glass_pane_yellow:8, Окрашенная стеклянная панель
chisel:stained_glass_pane_yellow:9, Окрашенная стеклянная панель
chisel:stained_glass_pane_yellow:10, Окрашенная стеклянная панель
chisel:stained_glass_pane_yellow:11, Окрашенная стеклянная панель
chisel:stained_glass_pane_yellow:12, Окрашенная стеклянная панель
chisel:stained_glass_pane_yellow:13, Окрашенная стеклянная панель
chisel:stained_glass_pane_pink:0, Окрашенная стеклянная панель
chisel:stained_glass_pane_pink:1, Окрашенная стеклянная панель
chisel:stained_glass_pane_pink:2, Окрашенная стеклянная панель
chisel:stained_glass_pane_pink:3, Окрашенная стеклянная панель
chisel:stained_glass_pane_pink:4, Окрашенная стеклянная панель
chisel:stained_glass_pane_pink:5, Окрашенная стеклянная панель
chisel:stained_glass_pane_pink:8, Окрашенная стеклянная панель
chisel:stained_glass_pane_pink:9, Окрашенная стеклянная панель
chisel:stained_glass_pane_pink:10, Окрашенная стеклянная панель
chisel:stained_glass_pane_pink:11, Окрашенная стеклянная панель
chisel:stained_glass_pane_pink:12, Окрашенная стеклянная панель
chisel:stained_glass_pane_pink:13, Окрашенная стеклянная панель
chisel:stained_glass_pane_lightgray:0, Окрашенная стеклянная панель
chisel:stained_glass_pane_lightgray:1, Окрашенная стеклянная панель
chisel:stained_glass_pane_lightgray:2, Окрашенная стеклянная панель
chisel:stained_glass_pane_lightgray:3, Окрашенная стеклянная панель
chisel:stained_glass_pane_lightgray:4, Окрашенная стеклянная панель
chisel:stained_glass_pane_lightgray:5, Окрашенная стеклянная панель
chisel:stained_glass_pane_lightgray:8, Окрашенная стеклянная панель
chisel:stained_glass_pane_lightgray:9, Окрашенная стеклянная панель
chisel:stained_glass_pane_lightgray:10, Окрашенная стеклянная панель
chisel:stained_glass_pane_lightgray:11, Окрашенная стеклянная панель
chisel:stained_glass_pane_lightgray:12, Окрашенная стеклянная панель
chisel:stained_glass_pane_lightgray:13, Окрашенная стеклянная панель
chisel:stained_glass_pane_purple:0, Окрашенная стеклянная панель
chisel:stained_glass_pane_purple:1, Окрашенная стеклянная панель
chisel:stained_glass_pane_purple:2, Окрашенная стеклянная панель
chisel:stained_glass_pane_purple:3, Окрашенная стеклянная панель
chisel:stained_glass_pane_purple:4, Окрашенная стеклянная панель
chisel:stained_glass_pane_purple:5, Окрашенная стеклянная панель
chisel:stained_glass_pane_purple:8, Окрашенная стеклянная панель
chisel:stained_glass_pane_purple:9, Окрашенная стеклянная панель
chisel:stained_glass_pane_purple:10, Окрашенная стеклянная панель
chisel:stained_glass_pane_purple:11, Окрашенная стеклянная панель
chisel:stained_glass_pane_purple:12, Окрашенная стеклянная панель
chisel:stained_glass_pane_purple:13, Окрашенная стеклянная панель
chisel:stained_glass_pane_brown:0, Окрашенная стеклянная панель
chisel:stained_glass_pane_brown:1, Окрашенная стеклянная панель
chisel:stained_glass_pane_brown:2, Окрашенная стеклянная панель
chisel:stained_glass_pane_brown:3, Окрашенная стеклянная панель
chisel:stained_glass_pane_brown:4, Окрашенная стеклянная панель
chisel:stained_glass_pane_brown:5, Окрашенная стеклянная панель
chisel:stained_glass_pane_brown:8, Окрашенная стеклянная панель
chisel:stained_glass_pane_brown:9, Окрашенная стеклянная панель
chisel:stained_glass_pane_brown:10, Окрашенная стеклянная панель
chisel:stained_glass_pane_brown:11, Окрашенная стеклянная панель
chisel:stained_glass_pane_brown:12, Окрашенная стеклянная панель
chisel:stained_glass_pane_brown:13, Окрашенная стеклянная панель
chisel:stained_glass_pane_red:0, Окрашенная стеклянная панель
chisel:stained_glass_pane_red:1, Окрашенная стеклянная панель
chisel:stained_glass_pane_red:2, Окрашенная стеклянная панель
chisel:stained_glass_pane_red:3, Окрашенная стеклянная панель
chisel:stained_glass_pane_red:4, Окрашенная стеклянная панель
chisel:stained_glass_pane_red:5, Окрашенная стеклянная панель
chisel:stained_glass_pane_red:8, Окрашенная стеклянная панель
chisel:stained_glass_pane_red:9, Окрашенная стеклянная панель
chisel:stained_glass_pane_red:10, Окрашенная стеклянная панель
chisel:stained_glass_pane_red:11, Окрашенная стеклянная панель
chisel:stained_glass_pane_red:12, Окрашенная стеклянная панель
chisel:stained_glass_pane_red:13, Окрашенная стеклянная панель
chisel:glowstone:1, Светящийся камень
chisel:glowstone:2, Светящийся камень
chisel:glowstone:3, Светящийся камень
chisel:glowstone:4, Светящийся камень
chisel:glowstone:5, Светящийся камень
chisel:glowstone:6, Светящийся камень
chisel:glowstone:7, Светящийся камень
chisel:glowstone:8, Светящийся камень
chisel:glowstone:9, Светящийся камень
chisel:glowstone:10, Светящийся камень
chisel:glowstone:11, Светящийся камень
chisel:glowstone:12, Светящийся камень
chisel:glowstone:13, Светящийся камень
chisel:glowstone:14, Светящийся камень
chisel:glowstone:15, Светящийся камень
chisel:gold2:0, Золотой блок
chisel:gold2:1, Золотой блок
chisel:gold2:2, Золотой блок
chisel:gold2:3, Золотой блок
chisel:gold2:4, Золотой блок
chisel:gold2:5, Золотой блок
chisel:gold_block:1, Золотой блок
chisel:gold_block:2, Золотой блок
chisel:gold_block:3, Золотой блок
chisel:gold_block:4, Золотой блок
chisel:gold_block:5, Золотой блок
chisel:gold_block:6, Золотой блок
chisel:gold_block:7, Золотой блок
chisel:gold_block:8, Золотой блок
chisel:gold_block:9, Золотой блок
chisel:gold_block:10, Золотой блок
chisel:gold_block:11, Золотой блок
chisel:gold_block:12, Золотой блок
chisel:gold_block:13, Золотой блок
chisel:gold_block:14, Золотой блок
chisel:granite:0, Гранит
chisel:granite:1, Гранит
chisel:granite:2, Гранит
chisel:granite:3, Гранит
chisel:granite:4, Гранит
chisel:granite:5, Гранит
chisel:granite:6, Гранит
chisel:grimstone:0, Мрачный камень
chisel:grimstone:1, Мрачный камень
chisel:grimstone:2, Мрачный камень
chisel:grimstone:3, Мрачный камень
chisel:grimstone:4, Мрачный камень
chisel:grimstone:5, Мрачный камень
chisel:grimstone:6, Мрачный камень
chisel:grimstone:7, Мрачный камень
chisel:grimstone:8, Мрачный камень
chisel:grimstone:9, Мрачный камень
chisel:grimstone:10, Мрачный камень
chisel:grimstone:11, Мрачный камень
chisel:grimstone:12, Мрачный камень
chisel:grimstone:13, Мрачный камень
chisel:grimstone:14, Мрачный камень
chisel:hexPlating:0, Хекс-покрытие
chisel:hexPlating:1, Хекс-покрытие
chisel:hexPlating:2, Хекс-покрытие
chisel:hexPlating:3, Хекс-покрытие
chisel:hexPlating:4, Хекс-покрытие
chisel:hexPlating:5, Хекс-покрытие
chisel:hexPlating:6, Хекс-покрытие
chisel:hexPlating:7, Хекс-покрытие
chisel:hexPlating:8, Хекс-покрытие
chisel:hexPlating:9, Хекс-покрытие
chisel:hexPlating:10, Хекс-покрытие
chisel:hexPlating:11, Хекс-покрытие
chisel:hexPlating:12, Хекс-покрытие
chisel:hexPlating:13, Хекс-покрытие
chisel:hexPlating:14, Хекс-покрытие
chisel:hexPlating:15, Хекс-покрытие
chisel:hexLargePlating:0, Большое хекс-покрытие
chisel:hexLargePlating:1, Большое хекс-покрытие
chisel:hexLargePlating:2, Большое хекс-покрытие
chisel:hexLargePlating:3, Большое хекс-покрытие
chisel:hexLargePlating:4, Большое хекс-покрытие
chisel:hexLargePlating:5, Большое хекс-покрытие
chisel:hexLargePlating:6, Большое хекс-покрытие
chisel:hexLargePlating:7, Большое хекс-покрытие
chisel:hexLargePlating:8, Большое хекс-покрытие
chisel:hexLargePlating:9, Большое хекс-покрытие
chisel:hexLargePlating:10, Большое хекс-покрытие
chisel:hexLargePlating:11, Большое хекс-покрытие
chisel:hexLargePlating:12, Большое хекс-покрытие
chisel:hexLargePlating:13, Большое хекс-покрытие
chisel:hexLargePlating:14, Большое хекс-покрытие
chisel:hexLargePlating:15, Большое хекс-покрытие
chisel:holystone:0, Пемза
chisel:holystone:1, Пемза
chisel:holystone:2, Пемза
chisel:holystone:3, Пемза
chisel:holystone:4, Пемза
chisel:holystone:5, Пемза
chisel:holystone:6, Пемза
chisel:holystone:7, Пемза
chisel:holystone:8, Пемза
chisel:holystone:9, Пемза
chisel:holystone:10, Пемза
chisel:holystone:11, Пемза
chisel:holystone:12, Пемза
chisel:holystone:13, Пемза
chisel:ice:1, Лёд
chisel:ice:2, Лёд
chisel:ice:3, Лёд
chisel:ice:4, Лёд
chisel:ice:5, Лёд
chisel:ice:6, Лёд
chisel:ice:7, Лёд
chisel:ice:8, Лёд
chisel:ice:9, Лёд
chisel:ice:10, Лёд
chisel:ice:11, Лёд
chisel:ice:12, Лёд
chisel:ice:13, Лёд
chisel:ice:14, Лёд
chisel:ice:15, Лёд
chisel:ice_pillar:0, Ледяная колонна
chisel:ice_pillar:1, Ледяная колонна
chisel:ice_pillar:2, Ледяная колонна
chisel:ice_pillar:3, Ледяная колонна
chisel:ice_pillar:4, Ледяная колонна
chisel:ice_pillar:5, Ледяная колонна
chisel:ice_pillar:6, Ледяная колонна
chisel:ice_stairs.0:0, Ледяные ступеньки
chisel:ice_stairs.0:8, Ледяные ступеньки
chisel:ice_stairs.1:0, Ледяные ступеньки
chisel:ice_stairs.1:8, Ледяные ступеньки
chisel:ice_stairs.2:0, Ледяные ступеньки
chisel:ice_stairs.2:8, Ледяные ступеньки
chisel:ice_stairs.3:0, Ледяные ступеньки
chisel:ice_stairs.3:8, Ледяные ступеньки
chisel:ice_stairs.4:0, Ледяные ступеньки
chisel:ice_stairs.4:8, Ледяные ступеньки
chisel:ice_stairs.5:0, Ледяные ступеньки
chisel:ice_stairs.5:8, Ледяные ступеньки
chisel:ice_stairs.6:0, Ледяные ступеньки
chisel:ice_stairs.6:8, Ледяные ступеньки
chisel:ice_stairs.7:0, Ледяные ступеньки
chisel:ice_stairs.7:8, Ледяные ступеньки
chisel:iron_bars:1, Железные прутья
chisel:iron_bars:2, Железные прутья
chisel:iron_bars:3, Железные прутья
chisel:iron_bars:4, Железные прутья
chisel:iron_bars:5, Железные прутья
chisel:iron_bars:6, Железные прутья
chisel:iron_bars:7, Железные прутья
chisel:iron_bars:8, Железные прутья
chisel:iron_bars:9, Железные прутья
chisel:iron2:0, Железный блок
chisel:iron2:1, Железный блок
chisel:iron2:2, Железный блок
chisel:iron2:3, Железный блок
chisel:iron2:4, Железный блок
chisel:iron2:5, Железный блок
chisel:iron_block:1, Железный блок
chisel:iron_block:2, Железный блок
chisel:iron_block:3, Железный блок
chisel:iron_block:4, Железный блок
chisel:iron_block:5, Железный блок
chisel:iron_block:6, Железный блок
chisel:iron_block:7, Железный блок
chisel:iron_block:8, Железный блок
chisel:iron_block:9, Железный блок
chisel:iron_block:10, Железный блок
chisel:iron_block:11, Железный блок
chisel:iron_block:12, Железный блок
chisel:iron_block:13, Железный блок
chisel:iron_block:14, Железный блок
chisel:iron_block:15, Железный блок
chisel:jackolantern1:0, Светильник Джека
chisel:jackolantern2:0, Светильник Джека
chisel:jackolantern3:0, Светильник Джека
chisel:jackolantern4:0, Светильник Джека
chisel:jackolantern5:0, Светильник Джека
chisel:jackolantern6:0, Светильник Джека
chisel:jackolantern7:0, Светильник Джека
chisel:jackolantern8:0, Светильник Джека
chisel:jackolantern9:0, Светильник Джека
chisel:jackolantern10:0, Светильник Джека
chisel:jackolantern11:0, Светильник Джека
chisel:jackolantern12:0, Светильник Джека
chisel:jackolantern13:0, Светильник Джека
chisel:jackolantern14:0, Светильник Джека
chisel:jackolantern15:0, Светильник Джека
chisel:jackolantern16:0, Светильник Джека
chisel:laboratoryblock:0, Лабораторный блок
chisel:laboratoryblock:1, Лабораторный блок
chisel:laboratoryblock:2, Лабораторный блок
chisel:laboratoryblock:3, Лабораторный блок
chisel:laboratoryblock:4, Лабораторный блок
chisel:laboratoryblock:5, Лабораторный блок
chisel:laboratoryblock:6, Лабораторный блок
chisel:laboratoryblock:7, Лабораторный блок
chisel:laboratoryblock:8, Лабораторный блок
chisel:laboratoryblock:9, Лабораторный блок
chisel:laboratoryblock:10, Лабораторный блок
chisel:laboratoryblock:11, Лабораторный блок
chisel:laboratoryblock:12, Лабораторный блок
chisel:laboratoryblock:13, Лабораторный блок
chisel:laboratoryblock:14, Лабораторный блок
chisel:laboratoryblock:15, Лабораторный блок
chisel:lapis_block:1, Лазуритовый блок
chisel:lapis_block:2, Лазуритовый блок
chisel:lapis_block:3, Лазуритовый блок
chisel:lapis_block:4, Лазуритовый блок
chisel:lapis_block:5, Лазуритовый блок
chisel:lapis_block:6, Лазуритовый блок
chisel:lapis_block:7, Лазуритовый блок
chisel:lapis_block:8, Лазуритовый блок
chisel:lavastone:0, Лавовый камень
chisel:lavastone:1, Лавовый камень
chisel:lavastone:2, Лавовый камень
chisel:lavastone:3, Лавовый камень
chisel:lavastone:4, Лавовый камень
chisel:lavastone:5, Лавовый камень
chisel:lavastone:6, Лавовый камень
chisel:lavastone:7, Лавовый камень
chisel:leadblock:0, Свинцовый блок
chisel:leadblock:1, Свинцовый блок
chisel:leadblock:2, Свинцовый блок
chisel:leadblock:3, Свинцовый блок
chisel:leadblock:4, Свинцовый блок
chisel:leadblock:5, Свинцовый блок
chisel:leaves:6, Листва
chisel:leaves:7, Листва
chisel:leaves:8, Листва
chisel:leaves:9, Листва
chisel:leaves:10, Листва
chisel:leaves:11, Листва
chisel:leaves:12, Листва
chisel:limestone:0, Известняк
chisel:limestone:1, Известняк
chisel:limestone:2, Известняк
chisel:limestone:3, Известняк
chisel:limestone:4, Известняк
chisel:limestone:5, Известняк
chisel:limestone:6, Известняк
chisel:limestone:7, Известняк
chisel:limestone:8, Известняк
chisel:limestone:9, Известняк
chisel:limestone:10, Известняк
chisel:limestone:11, Известняк
chisel:limestone:12, Известняк
chisel:limestone:13, Известняк
chisel:limestone:14, Известняк
chisel:limestone:15, Известняк
chisel:limestone_slab:0, Известняковая плита
chisel:limestone_slab:1, Известняковая плита
chisel:limestone_slab:2, Известняковая плита
chisel:limestone_slab:3, Известняковая плита
chisel:limestone_slab:4, Известняковая плита
chisel:limestone_slab:5, Известняковая плита
chisel:limestone_slab:6, Известняковая плита
chisel:limestone_slab:7, Известняковая плита
chisel:limestone_slab:8, Известняковая плита
chisel:limestone_slab:9, Известняковая плита
chisel:limestone_slab:10, Известняковая плита
chisel:limestone_slab:11, Известняковая плита
chisel:limestone_slab:12, Известняковая плита
chisel:limestone_slab:13, Известняковая плита
chisel:limestone_slab:14, Известняковая плита
chisel:limestone_slab:15, Известняковая плита
chisel:limestone_stairs.0:0, Известняковые ступеньки
chisel:limestone_stairs.0:8, Известняковые ступеньки
chisel:limestone_stairs.1:0, Известняковые ступеньки
chisel:limestone_stairs.1:8, Известняковые ступеньки
chisel:limestone_stairs.2:0, Известняковые ступеньки
chisel:limestone_stairs.2:8, Известняковые ступеньки
chisel:limestone_stairs.3:0, Известняковые ступеньки
chisel:limestone_stairs.3:8, Известняковые ступеньки
chisel:limestone_stairs.4:0, Известняковые ступеньки
chisel:limestone_stairs.4:8, Известняковые ступеньки
chisel:limestone_stairs.5:0, Известняковые ступеньки
chisel:limestone_stairs.5:8, Известняковые ступеньки
chisel:limestone_stairs.6:0, Известняковые ступеньки
chisel:limestone_stairs.6:8, Известняковые ступеньки
chisel:limestone_stairs.7:0, Известняковые ступеньки
chisel:limestone_stairs.7:8, Известняковые ступеньки
chisel:marble:0, Мрамор
chisel:marble:1, Мрамор
chisel:marble:2, Мрамор
chisel:marble:3, Мрамор
